Job,Generation,IdeaID,Description,Mechanism,NPV,CAPEX,ROI,Likelihood,Score,Timestamp
10gen x 10ideas,1,micropod_chef_farms,"Lease plug-and-grow container pods to hotels and high-volume restaurants that want ultra-fresh herbs and microgreens. Pods are delivered ready-to-grow; chefs pay a flat monthly fee cheaper than wholesale prices and market the on-site farm to guests.","",0.00,0.60,0.00,0.60,0.416,N/A
10gen x 10ideas,1,roofshare_farms_v1,"Convert unused commercial rooftops into modular hydroponic farms through a revenue-share lease with building owners. Operators install lightweight farm kits, buildings provide space and water access, and local grocers subscribe to weekly harvests contracted in advance.","",0.00,1.80,0.00,0.45,-0.002,N/A
10gen x 10ideas,1,heatloop_aquaponics_v2,"Co-locate compact aquaponic systems inside data center service corridors, using server waste heat to keep fish tanks and grow beds at optimal temperatures. Data centers provide space and heat in return for carbon offset credits and employee cafeteria supply.","",0.00,2.20,0.00,0.30,-0.131,N/A
10gen x 10ideas,1,parkvolt_greenhouse_v1,"Build see-through solar canopies over urban parking lots that double as greenhouse roofs. A solar developer fronts most of the capital to earn power sale revenues; the farming venture installs hanging grow rails under the panels and sells premium greens to commuters via kiosk pickup.","",0.00,3.00,0.00,0.35,-0.151,N/A
10gen x 10ideas,1,mallrevive_farmhub,"Transform vacant mall anchor stores into multi-tenant urban farm hubs. The property owner supplies space and utilities at low rent; different micro-farm startups (mushrooms, vertical greens, insect protein) share common cold-chain, packaging, and retail kiosk areas.","",0.00,3.50,0.00,0.40,-0.221,N/A
10gen x 10ideas,2,micropod_chef_farms,"Lease plug-and-grow container pods to hotels and high-volume restaurants that want ultra-fresh herbs and microgreens. Pods are delivered ready-to-grow; chefs pay a flat monthly fee cheaper than wholesale prices and market the on-site farm to guests.","",0.00,0.60,0.00,0.60,0.416,N/A
10gen x 10ideas,2,stormvault_mushroom_farms_v1,"Lease rarely used municipal storm-water vaults and utility tunnels for $1/year and convert them into gourmet mushroom farms that thrive in cool, dark environments. Spent coffee grounds collected daily from city cafés become free growing substrate, reducing landfill fees for cafés. Harvested mushrooms are sold under a ‘zero-land, zero-light’ brand to supermarkets, meal-kit companies, and high-end restaurants, with same-day bike delivery.","",0.00,0.40,0.00,0.55,0.337,N/A
10gen x 10ideas,2,hybrid_roofpod_heatloop_v1,"Create a network of plug-and-grow containers placed on commercial rooftops and linked to the building’s waste-heat ducts (from HVAC rooms or data-center corridors). Each container runs a combined hydroponic-aquaponic system that supplies leafy greens and herbs directly to the building’s restaurant tenants and nearby grocers under pre-sold weekly contracts. Building owners contribute the idle roof space and heat in exchange for a cut of produce revenue and LEED credits. An operating company remotely monitors all units, handles seed/fish restocking, and provides marketing materials so chefs can showcase the on-site farm.","",0.00,1.50,0.00,0.50,0.198,N/A
10gen x 10ideas,2,roofshare_farms_v1,"Convert unused commercial rooftops into modular hydroponic farms through a revenue-share lease with building owners. Operators install lightweight farm kits, buildings provide space and water access, and local grocers subscribe to weekly harvests contracted in advance.","",0.00,1.80,0.00,0.45,-0.002,N/A
10gen x 10ideas,2,heatloop_aquaponics_v2,"Co-locate compact aquaponic systems inside data center service corridors, using server waste heat to keep fish tanks and grow beds at optimal temperatures. Data centers provide space and heat in return for carbon offset credits and employee cafeteria supply.","",0.00,2.20,0.00,0.30,-0.131,N/A
10gen x 10ideas,3,vault_roof_symbio_farms_v1,"Pair an underground gourmet-mushroom vault with a rooftop hydroponic container on the same commercial building. The vault uses free spent coffee grounds from tenant cafés; its CO₂-rich exhaust is piped up to the roof unit, accelerating leafy-green growth. Warm LED exhaust air from the roof unit is ducted back down to stabilize vault humidity—cutting energy costs for both. The operator installs, maintains and remotely monitors both units; building owners co-invest for LEED credits and a share of produce, while tenant restaurants subscribe to weekly mixed-crop boxes priced 15 % below wholesale.","",0.00,0.90,0.00,0.62,0.432,N/A
10gen x 10ideas,3,micropod_chef_farms,"Lease plug-and-grow container pods to hotels and high-volume restaurants that want ultra-fresh herbs and microgreens. Pods are delivered ready-to-grow; chefs pay a flat monthly fee cheaper than wholesale prices and market the on-site farm to guests.","",0.00,0.60,0.00,0.60,0.416,N/A
10gen x 10ideas,3,hydrobarge_riverfarm_v1,"Buy decommissioned river barges at scrap value, retrofit them into solar-powered floating greenhouses, and anchor them along underused urban waterfronts for $1/year mooring fees arranged with port authorities. Water stabilizes temperature, while rainwater capture and on-deck solar panels supply irrigation and power. Produce is harvested daily and delivered by e-bike to nearby food-desert neighborhoods, subscription customers, and waterfront restaurants under a ‘zero-land, zero-mile’ brand.","",0.00,0.70,0.00,0.48,0.348,N/A
10gen x 10ideas,3,stormvault_mushroom_farms_v1,"Lease rarely used municipal storm-water vaults and utility tunnels for $1/year and convert them into gourmet mushroom farms that thrive in cool, dark environments. Spent coffee grounds collected daily from city cafés become free growing substrate, reducing landfill fees for cafés. Harvested mushrooms are sold under a ‘zero-land, zero-light’ brand to supermarkets, meal-kit companies, and high-end restaurants, with same-day bike delivery.","",0.00,0.40,0.00,0.55,0.337,N/A
10gen x 10ideas,3,hybrid_roofpod_heatloop_v1,"Create a network of plug-and-grow containers placed on commercial rooftops and linked to the building’s waste-heat ducts (from HVAC rooms or data-center corridors). Each container runs a combined hydroponic-aquaponic system that supplies leafy greens and herbs directly to the building’s restaurant tenants and nearby grocers under pre-sold weekly contracts. Building owners contribute the idle roof space and heat in exchange for a cut of produce revenue and LEED credits. An operating company remotely monitors all units, handles seed/fish restocking, and provides marketing materials so chefs can showcase the on-site farm.","",0.00,1.50,0.00,0.50,0.198,N/A
10gen x 10ideas,4,looplease_symbio_farms_v2,"Create a city-wide network of paired mushroom vaults and leafy-green container pods that are leased to high-foot-traffic buildings (hotels, offices, malls) located within 500 m of a waterfront. Each site hosts two plug-and-grow units: 1) a basement or ground-floor gourmet-mushroom vault fed by free spent coffee grounds from in-building cafés, and 2) a rooftop hydroponic pod. Simple ducting lets warm, CO₂-rich air from the vault turbo-charge rooftop plant growth, while the pod’s LED waste heat is piped back down to keep the vault at ideal humidity—cutting energy use for both by ~25 %. A solar-powered ‘nutrient barge’ moored on the river acts as a central hub that composts spent substrates, brews organic liquid fertilizer, and delivers weekly refills by e-cargo bike, further reducing on-site labor. Building owners co-invest for green-building credits and get a share of produce for in-house food service; chefs subscribe to fixed-price harvest boxes at 10 % below wholesale, locking in predictable cash flow.","",0.00,0.80,0.00,0.65,0.611,N/A
10gen x 10ideas,4,subway_breeze_farms,"Convert disused service alcoves and maintenance rooms adjacent to subway tunnels into compact, fully enclosed aeroponic farms. Warm, CO₂-rich ventilation air from passing trains is filtered and routed through heat exchangers to maintain ideal growing conditions at near-zero heating cost. Metro authorities grant 10-year air-rights concessions in exchange for a 5 % revenue share and free produce for station staff. Harvested greens are sold through branded ‘Last-Stop Salad’ kiosks on station platforms and via commuter app pre-orders, turning transit dwell time into retail time.","",0.00,0.50,0.00,0.50,0.463,N/A
10gen x 10ideas,4,vault_roof_symbio_farms_v1,"Pair an underground gourmet-mushroom vault with a rooftop hydroponic container on the same commercial building. The vault uses free spent coffee grounds from tenant cafés; its CO₂-rich exhaust is piped up to the roof unit, accelerating leafy-green growth. Warm LED exhaust air from the roof unit is ducted back down to stabilize vault humidity—cutting energy costs for both. The operator installs, maintains and remotely monitors both units; building owners co-invest for LEED credits and a share of produce, while tenant restaurants subscribe to weekly mixed-crop boxes priced 15 % below wholesale.","",0.00,0.90,0.00,0.62,0.432,N/A
10gen x 10ideas,4,micropod_chef_farms,"Lease plug-and-grow container pods to hotels and high-volume restaurants that want ultra-fresh herbs and microgreens. Pods are delivered ready-to-grow; chefs pay a flat monthly fee cheaper than wholesale prices and market the on-site farm to guests.","",0.00,0.60,0.00,0.60,0.416,N/A
10gen x 10ideas,4,hydrobarge_riverfarm_v1,"Buy decommissioned river barges at scrap value, retrofit them into solar-powered floating greenhouses, and anchor them along underused urban waterfronts for $1/year mooring fees arranged with port authorities. Water stabilizes temperature, while rainwater capture and on-deck solar panels supply irrigation and power. Produce is harvested daily and delivered by e-bike to nearby food-desert neighborhoods, subscription customers, and waterfront restaurants under a ‘zero-land, zero-mile’ brand.","",0.00,0.70,0.00,0.48,0.348,N/A
